x,y,ds,dist,yaw,linear_vel,angular_vel,lane_id,left_x,left_y,right_x,right_y
-282.456974862867,82.2258449704085,1.98997924424168,33.9913405592072,1.44725925502582,5.55555534362793,0,"array('q', [30957])",-283.5961,86.0037,-280.788,86.4283
-282.209317935108,84.2203537932499,2.00982571340383,36.001166272611,1.59645966048005,5.55555534362793,0,"array('q', [30957])",-283.6506,86.3885,-280.8733,86.9675
-282.26131486669,86.2460265504401,2.02634000111445,38.0275062737255,1.88841021915788,5.55555534362793,0,"array('q', [30957, 29800])",-283.7291,86.6886,-281.0359,87.5704
-282.889698353429,88.1574979038312,2.01211046944274,40.0396167431682,2.39872427893347,5.55555534362793,0,"array('q', [29800, 38506])",-283.8404,86.9782,-281.2642,88.1515
-284.36740658961,89.5145707560173,2.006307144337,42.0459238875052,2.89381338369473,5.55555534362793,0,"array('q', [29800, 38506])",-283.9832,87.2539,-281.5553,88.7036
-286.303798833644,90.0044348845239,1.9973937486516,44.0433176361568,-3.11642369323384,5.55555534362793,0,"array('q', [38506])",-284.0475,87.3502,-281.7083,88.9291
-288.310739526135,89.9539116049094,2.00757653526816,46.050894171425,-3.03621063289569,2.77777767181396,0,"array('q', [38506, 27346])",-284.1557,87.5123,-281.9056,89.2199
-290.297385182255,89.7437764183954,1.99772814957185,48.0486223209968,-3.05655494725694,2.77777767181396,0,"array('q', [27346, 4098])",-284.3559,87.7501,-282.3109,89.6942
-292.289523245191,89.57396003196,1.99936281522395,50.0479851362208,-3.07056646599409,2.77777767181396,0,"array('q', [27346, 4098])",-284.5813,87.9644,-282.766,90.1205
-294.285400262512,89.4319616354808,2.00092194072453,52.0489070769453,-3.06389649034054,5.55555534362793,0,"array('q', [4098])",-284.8292,88.1525,-283.2653,90.4938
-296.279496681303,89.2767154776267,2.00013046998529,54.0490375469306,-3.06063219373805,5.55555534362793,0,"array('q', [4098])",-285.0965,88.3122,-283.8028,90.8094
-298.27272215444,89.1149895227973,1.99977575523548,56.0488133021661,-3.06252027861445,5.55555534362793,0,"array('q', [4098])",-285.38,88.4413,-284.3717,91.0635
-300.266451335699,88.9570112341053,1.99997829685771,58.0487915990238,-3.06326807310002,5.55555534362793,0,"array('q', [4098])",-285.6762,88.5383,-284.9652,91.253
-302.260380091288,88.8005174536263,2.00006054550691,60.0488521445307,-3.06274549117912,5.55555534362793,0,"array('q', [4098])",-285.9814,88.602,-285.5757,91.3757
-304.25416942499,88.6429862362087,2.00000299790894,62.0488551424396,-3.06256844337296,5.55555534362793,0,"array('q', [4098])",-286.3695,88.6363,-286.1185,91.4252
-306.247911335688,88.4851035695173,1.99998343566025,64.0488385780999,-3.06270569415564,5.55555534362793,0,"array('q', [4098, 35346])",-286.6052,88.6252,-286.8173,91.4173
-308.241689604464,88.3274933843199,1.99999818887952,66.0488367669794,-3.06276897311839,5.55555534362793,0,"array('q', [4098, 35346])",-290.0992,88.3471,-290.3214,91.1584
-310.235484668823,88.1700088244781,2.00000503630638,68.0488418032858,-3.06274121037371,5.55555534362793,0,"array('q', [4098, 35346])",-305.5386,87.1268,-305.7608,89.9381
-312.229272390745,88.0124691461069,2.00000205758599,70.0488438608718,-3.06271311554163,5.55555534362793,0,"array('q', [35346])",-343.6993,84.1108,-343.9215,86.9221
-314.223052636197,87.8548736937202,1.99999899844165,72.0488428593134,-3.06271364744686,5.55555534362793,0,"array('q', [35346])",-358.0593,83.0293,-358.4043,85.8074
-316.216832940636,87.6972793037992,1.99999897352558,74.048841832839,-3.06272351677325,5.55555534362793,0,"array('q', [35346])",-359.7339,82.8077,-359.9493,85.6253
-318.210615870442,87.5397045065799,2.00000004697613,76.0488418798151,-3.06272416715833,5.55555534362793,0,"array('q', [35346])",-361.6196,82.4495,-361.8973,85.2374
-320.204399211329,87.3821309816982,2.00000035653555,78.0488422363507,-3.06271961761667,5.55555534362793,0,"array('q', [35346])",-363.8993,81.916,-364.0851,84.6912
-322.19818155787,87.2245484079456,2.00000007823222,80.0488423145829,-3.06272313876038,5.55555534362793,0,"array('q', [35346])",-366.114,81.4812,-366.2609,84.2813
-324.191964293211,87.0669728677123,1.99999991165594,82.0488422262388,-3.06273430692805,5.55555534362793,0,"array('q', [35346])",-368.2257,81.1256,-368.4039,83.9121
-326.185748833204,86.909419590837,1.9999999567423,84.0488421829811,-3.06272787469227,5.55555534362793,0,"array('q', [35346])",-369.7639,80.9141,-369.9818,83.7101
-328.179532421214,86.7518534846142,2.00000001841205,86.0488422013932,-3.06269105830218,5.55555534362793,0,"array('q', [35346])",-371.0609,80.7691,-371.2736,83.5584
-330.173310182061,86.5942139765443,1.99999999353817,88.0488421949314,-3.06267857187401,5.55555534362793,0,"array('q', [35346])",-408.2643,77.7163,-408.4929,80.4985
-332.167085942268,86.4365495758649,1.99999996130762,90.048842156239,-3.06277446350292,5.55555534362793,0,"array('q', [35346])",-418.1735,77.7489,-418.4207,80.5394
-334.160876896621,86.2790763556321,2.0000000461876,92.0488422024266,-3.06290901501167,5.55555534362793,0,"array('q', [35346])",-420.3243,77.554,-420.5726,80.3522
-336.154689187431,86.1218713912971,2.00000021294915,94.0488424153757,-3.06271981413164,5.55555534362793,0,"array('q', [35346])",-425.6389,76.922,-425.8033,79.7466
-338.148471485892,85.9642892156003,1.99999999893843,96.0488424143141,-3.06215742462701,5.55555534362793,0,"array('q', [35346])",-438.8974,75.8224,-439.1311,78.6437
-340.142164621686,85.8055858005391,1.99999977341603,98.0488421877302,-3.06226344434043,5.55555534362793,0,"array('q', [35346])",-440.2631,75.7092,-440.4974,78.5304
-342.135874564653,85.6470937577257,1.99999976608018,100.04884195381,-3.06394451015595,5.55555534362793,0,"array('q', [35346])",-441.5154,75.6092,-441.7491,78.4225
-344.129851033105,85.4919532687233,2.00000268201525,102.048844635826,-3.0660560676748,5.55555534362793,0,"array('q', [35346, 4352])",-442.7675,75.5091,-443.001,78.3145
-346.124159381124,85.3410228572364,2.00001144398972,104.048856079815,-3.06562923846343,5.55555534362793,0,"array('q', [35346, 4352])",-444.0198,75.4088,-444.2527,78.2063
-348.118386774209,85.1892424749949,1.99999504493485,106.04885112475,-3.06294761494429,5.55555534362793,0,"array('q', [35346, 4352])",-445.2715,75.3044,-445.5049,78.1019
-350.11216911235,85.0321173103898,1.99996408198626,108.048815206736,-3.06433722077258,5.55555534362793,0,"array('q', [4352])",-459.5794,74.1106,-459.8128,76.9081
-352.10618725396,84.8777613674563,1.99998352647934,110.048798733216,-3.07283770834295,5.55555534362793,0,"array('q', [4352])",-463.61,73.7743,-463.8435,76.5718
-354.101623951682,84.7403486305151,2.00016246212382,112.04896119534,-3.07582309350527,5.55555534362793,0,"array('q', [4352])",-475.077,72.8119,-475.3117,75.6215
-356.097557461742,84.6088873557507,2.00025814417619,114.049219339516,-3.05398373125037,5.55555534362793,0,"array('q', [4352])",-484.0172,72.1237,-484.2238,74.9481
-358.089847460963,84.4338970442763,1.99996026213169,116.049179601647,-3.00351765251043,5.55555534362793,0,"array('q', [4352])",-492.9069,71.4632,-493.0788,74.3027
-360.071028668336,84.1585936934641,2.00021771600405,118.049397317652,-2.95213017994253,5.55555534362793,0,"array('q', [4352, 4349])",-496.7513,71.1813,-493.137,74.298
-362.035731937445,83.7818373077301,2.00050101470581,120.049898332357,-2.91663629013354,5.55555534362793,0,"array('q', [4349])",-497.0905,71.0917,-497.6155,73.891
-363.985338702052,83.3357098674441,1.99999905739414,122.049897389751,-2.93060691641762,5.55555534362793,0,"array('q', [4349])",-497.3122,70.9954,-498.1538,73.7007
-365.941041960026,82.9168506811672,2.0000545620504,124.049951951802,-2.97130464434401,5.55555534362793,0,"array('q', [4349])",-497.6033,70.7981,-498.7553,73.3838
-367.912470937889,82.5778568984744,2.0003622170653,126.050314168867,-3.01030791326304,5.55555534362793,0,"array('q', [4349])",-497.706,70.6786,-499.2129,73.0446
-369.895281828365,82.3160381460113,2.00002202151166,128.050336190379,-3.03924165433386,5.55555534362793,0,"array('q', [4349, 592])",-497.9012,70.4639,-499.7678,72.5189
-371.885085279146,82.1116656253552,2.00027145656264,130.050607646941,-3.05432160230221,5.55555534362793,0,"array('q', [4349, 592])",-498.1608,70.1412,-500.0107,72.246
-373.877766675187,81.937319379397,2.00029391830492,132.050901565246,-3.06027488364247,5.55555534362793,0,"array('q', [592])",-498.4004,69.8033,-500.37,71.7894
-375.871122129976,81.7748659223355,1.999964273393,134.050865838639,-3.06127310091299,5.55555534362793,0,"array('q', [592])",-498.6193,69.4514,-500.701,71.3122
-377.864584360423,81.6144067261264,1.99990970242828,136.050775541068,-3.05971688047689,5.55555534362793,0,"array('q', [592])",-498.8166,69.0867,-501.0024,70.8159
-379.857880295062,81.450838415841,1.99999581879011,138.050771359858,-3.05916381018823,5.55555534362793,0,"array('q', [592])",-498.9916,68.7107,-501.2732,70.3024
-381.851116838325,81.2861651055236,2.00002730394614,140.050798663804,-3.05955131826595,5.55555534362793,0,"array('q', [592])",-499.1436,68.3246,-501.5125,69.7737
-383.844394532112,81.1222660538861,2.00000471591354,142.050803379717,-3.05975588983281,5.55555534362793,0,"array('q', [592])",-499.272,67.9298,-501.7193,69.2316
-385.837694846438,80.9587756649139,1.99999381258504,144.050797192303,-3.05963652847229,5.55555534362793,0,"array('q', [592])",-499.3764,67.5279,-501.8929,68.6782
-387.83098376072,80.7950466863861,2.00000196855135,146.050799160854,-3.0596177555663,5.55555534362793,0,"array('q', [592])",-499.4563,67.1203,-502.0327,68.1154
-389.824268903988,80.631280345326,2.00000126920888,148.050800430063,-3.05982193479655,5.55555534362793,0,"array('q', [592])",-499.5114,66.7084,-502.1382,67.5454
-391.817570463435,80.4679223866692,1.99998423232543,150.050784662388,-3.05974555418959,5.55555534362793,0,"array('q', [592])",-499.5416,66.2938,-502.209,66.9702
-393.810866667957,80.3044115941716,1.99999138453768,152.050776046926,-3.05905818559158,5.55555534362793,0,"array('q', [592])",-499.5463,65.8372,-502.2449,66.3919
-395.804108108865,80.1395259050664,2.00004968243912,154.050825729365,-3.05897689598869,5.55555534362793,0,"array('q', [592])",-499.4688,64.916,-502.2462,65.8534
-397.797342844727,79.974477631496,2.00005641041828,156.050882139783,-3.06111311642594,5.55555534362793,0,"array('q', [592])",-498.5206,53.649,-502.1495,64.6918
-399.790748010332,79.8137020442841,1.99987823221916,158.050760372002,-3.06274192269845,5.55555534362793,0,"array('q', [592])",-496.992054412389,33.8991400793416,-501.2109,53.4205
-401.784283210055,79.6561837479332,1.99974863575898,160.050509007761,-3.05676741030584,5.55555534362793,0,"array('q', [592])",,,-499.687486541963,33.6907705490777
-403.777341586281,79.486715431487,2.00025028467036,162.050759292432,-3.04754088728062,5.55555534362793,0,"array('q', [592])",,,,
-405.769663025044,79.2987796105794,2.00116580725707,164.051925099689,-3.06224791927977,5.55555534362793,0,"array('q', [592])",,,,
-407.763158812231,79.1402734475339,1.99978740301455,166.051712502703,-3.10637507302276,5.55555534362793,0,"array('q', [592])",,,,
-409.760174143015,79.069914308526,1.99825439817563,168.049966900879,3.13477805026778,5.55555534362793,0,"array('q', [592, 27992])",,,,
-411.760447189406,79.0835455868804,2.00031949244816,170.050286393327,3.11399367717213,5.55555534362793,0,"array('q', [592, 27992])",,,,
-413.76214404579,79.1388044022052,2.00245944816086,172.052745841488,3.11740553669277,5.55555534362793,0,"array('q', [27992])",,,,
-415.76343653815,79.1872193392123,2.00187802977651,174.054623871265,-3.13222333536223,5.55555534362793,0,"array('q', [27992])",,,,
-417.762554701393,79.1684884168706,1.99920591187097,176.053829783135,-3.06991851818405,5.55555534362793,0,"array('q', [27992])",,,,
-419.756674021372,79.025316387801,1.99925238332269,178.053082166458,-3.03158682579563,5.55555534362793,0,"array('q', [27992, 27989])",,,,
-421.745048635395,78.8056969847801,2.00046651755891,180.053548684017,-3.02060705441722,5.55555534362793,0,"array('q', [27989, 27826])",,,,
-423.730317041907,78.5643292717569,1.99988725151816,182.053435935535,-3.02653310410633,5.55555534362793,0,"array('q', [27826])",,,,
-425.717092236931,78.3347176644302,1.99999929144532,184.053435226981,-3.05154599736293,5.55555534362793,0,"array('q', [27826])",,,,
-427.708824431701,78.1548825187955,1.99983444697019,186.053269673951,-3.06490943487887,5.55555534362793,0,"array('q', [27826, 604])",,,,
-429.703159932735,78.0016499836655,2.00021356372438,188.053483237675,-3.06231272809552,5.55555534362793,0,"array('q', [27826, 604])",,,,
-431.69698956349,77.8432473101585,2.00011199772681,190.053595235402,-3.0577244094626,5.55555534362793,0,"array('q', [604])",,,,
-433.689925259353,77.6757102964826,1.99996533439869,192.053560569801,-3.05768727252209,5.55555534362793,0,"array('q', [604])",,,,
-435.682853464851,77.5080993779612,1.9999640627464,194.053524632547,-3.0591141295743,5.55555534362793,0,"array('q', [604])",,,,
-437.676059709974,77.3433288707594,2.0000051139037,196.053529746451,-3.0592792632089,5.55555534362793,0,"array('q', [604])",,,,
-439.669299262843,77.1788870058197,2.00001126048486,198.053541006936,-3.05875271339068,5.55555534362793,0,"array('q', [604, 33138])",,,,
-441.662439448393,77.0133966620211,1.99999871328578,200.053539720221,-3.05854856879279,5.55555534362793,0,"array('q', [604, 33138])",,,,
-443.655545525654,76.8474994564109,1.9999984295104,202.053538149732,-3.05846622229128,5.55555534362793,0,"array('q', [33138])",,,,
-445.648640308988,76.6814379282624,2.00000081162085,204.053538961353,-3.05836940201634,5.55555534362793,0,"array('q', [33138, 33089])",,,,
-447.641718416912,76.5151834779516,2.00000022163352,206.053539182986,-3.05832558490416,5.55555534362793,0,"array('q', [33138, 33089])",,,,
-449.634788770806,76.3488417358765,1.9999997526819,208.053538935668,-3.0583362838194,5.55555534362793,0,"array('q', [33138, 33089])",,,,
-451.627860983342,76.1825213109026,1.99999983203665,210.053538767705,-3.05835323936193,5.55555534362793,0,"array('q', [33089])",,,,
-453.620936211543,76.016234663229,2.00000002861576,212.05353879632,-3.05835101732383,5.55555534362793,0,"array('q', [33089])",,,,
