station,node,x,y,z,qx,qy,qz,qw
H05N,HH05N01,-351.981811523437,109.999168395996,1.74311603359582,0,0,-0.6641282673891,0.747618649081704
H05N,HH05N02,-351.927856445312,87.4798583984375,1.748127799149,0,0,-0.905113999687569,0.425168963553987
H05N,HH05N03,-365.933746337891,83.1546859741211,1.748127799149,0,0,-0.982481629730505,0.186359457077152
H05N,HH05N04,-351.311187744141,90.148681640625,1.748127799149,0,0,-0.238846837578197,0.97105725278116
P0501N,HP0501N01,-361.195098876953,127.079078674316,1.74226590623101,0,0,0.695887812254794,0.71815050842789
P0501N,HP0501N02,-360.379211425781,141.585601806641,1.7424661840408,0,0,0.725195414608635,0.68854310731472
P0501N,HP0501N03,-367.637023925781,154.371337890625,1.7424661840408,0,0,-0.999609414741639,-0.999609414741639
P0501N,HP0501N04,-383.659729003906,153.376113891602,1.73101947652762,0,0,-0.9975308032389,0.070230311045554
P0502N,HP0502N01,-439.404937744141,148.880676269531,1.84773133579694,0,0,-0.998737723983726,0.0502290622230517
P0503N,HP0503N01,-479.273742675781,145.588806152344,1.84773133579694,0,0,-0.999118620113587,0.0419759805403261
H01S,H01S01,-528.201354980469,133.417877197266,1.84773133579694,0,0,0.980911212344886,0.991906521227878
H01S,H01S02,-544.117736816406,137.715515136719,1.84773133579694,0,0,-0.999448086326218,0.0332193127391206
H01S,H01S03,-576.611267089844,135.11767578125,1.84773133579694,0,0,-0.998371610011578,0.05704496755095
H01S,H01S04,-588.691711425781,146.652221679688,1.84773133579694,0,0,0.552620347249242,0.8334331117769
H02S,H02S01,-528.12255859375,136.7275390625,0,0,0,0.993860915264129,0.110636707788816
H02S,H02S02,-537.429260253906,138.30891418457,1.84773133579694,0,0,-0.999185618266426,0.0403497242808424
H02S,H02S03,-576.611267089844,135.11767578125,1.84773133579694,0,0,-0.998371610011578,0.05704496755095
H02S,H02S04,-588.691711425781,146.652221679688,1.84773133579694,0,0,0.552620347249242,0.8334331117769
H04N,HH04N01,-375.871673583984,169.285568237305,1.73934829947967,0,0,-0.0788021276112205,0.996890277153883
H04N,HH04N02,-363.237701416016,161.499588012695,1.73934829947967,0,0,-0.447099765664905,0.894484096863878
H04N,HH04N03,-353.788970947266,131.81916809082,1.73934829947967,0,0,-0.661801935079346,0.749678730340693
D02S,HD02S02,-118.0283203125,169.761169433594,1.75919948859275,0,0,0.0240532048142507,0.999710679815997
D03S,HD03S01,-61.4597434997559,173.113784790039,1.75758900351413,0,0,0.0320733778698525,0.999485516869563
D0301N,HD0301N01,-42.5987396240234,174.750900268555,1.75708244248739,0,0,0.0334933077671245,0.999438941774242
D0301N,HD0301N02,-21.9303016662598,179.020309448242,1.75680919968196,0,0,-0.00162837460124169,0.9999986741972
D0301N,HD0301N03,-12.7043371200562,172.967498779297,1.75477876405543,0,0,-0.545661697811267,0.838005555794069
D0301N,HD0301N04,-7.85080862045288,167.148864746094,1.75477876405543,0,0,-0.617831877237104,0.786310225972979
D04A,HD04A01,-8.02874279022217,126.462211608887,1.74317767747589,0,0,-0.711129024572074,0.70306152676076
D04A,HD04A02,-12.5777864456177,116.238662719727,1.74317767747589,0,0,-0.958420552170389,0.285359501642062
